mapName,id
T105,Organizational Factors Outweigh Technical Factors for Achieving Group Support Systems Success
T106,Rough Sets Based Rule Generation from Data with Categorical and Numerical Values
T107,The Intersection of Robust Intelligence and Trust: Hybrid Teams, Firms, and Systems
T108,Facial Analysis and Synthesis Scheme
T109,Abstract Zobrist Hashing: An Efficient Work Distribution Method for Parallel Best-First Search
T110,Algebraic Information Geometry for Learning Machines with Singularities
T111,Developers' Core Practice in Technology Startups: Toward a Grounded Theory
T112,RoboCup is a stage which impulse the research of basic technology in robot
T113,Toward an intelligent agent framework for enterprise integration
T114,CAO: A Fully Automatic Emoticon Analysis System
T115,ORCHID Reduction-Ratio-Optimal Computation of Geo-spatial Distances for Link Discovery
T116,Learning Parametric Models for Social Infectivity in Multi-Dimensional Hawkes Processes
T117,DinTucker: Scaling Up Gaussian Process Models on Large Multidimensional Arrays
T118,Toward large scale study using smart eyewear
T119,Adaptive Anonymity via b-Matching
T120,Cryptanalysis of a Public Key Cryptosystem Proposed at ACISP 2000
T121,Improving TCP Performance in Hybrid Networks
T122,Case-based retrieval interface adapted to customer-initiated dialogues in help desk operations
T123,Abstraction Refinement for Ontology Materialization
T124,Pseudo-Relevance Feedback Based on Matrix Factorization
T125,Heterogeneous multitask learning with joint sparsity constraints
T126,CaneFitter: investigation on appropriate cane selection and proper cane use for the elderly
T127,Associative Patterns of Web Browsing Behavior
T128,The Role of the Internet in Key Account Management: a Case Study
T129,Exact learning curves for Gaussian process regression on large random graphs
T130,Insights into explicit semantic analysis
T131,Pragmatic Factors Influencing Word Choice: An Examination Based on Corpus and the IR Method
T132,Intrusion detection using clustering of network traffic flows
T133,Distant Supervision for Relation Extraction with Sentence-Level Attention and Entity Descriptions
T134,A Planning Approach for Message-Oriented Semantic Web Service Composition
T135,Sound Design for Affective Interaction
T136,Information Processing Based on Mixed - Classical and Fuzzy - Data Models
T137,Rule Extraction by Structural Learning with an Immediate Critic
T138,The Formalization of AI Risk Management and Safety Standards
T139,The Complexity of Computing Fair Knapsack
T140,Path planning for multi-vehicle autonomous swarms in dynamic environment
T141,Grounding Privacy-by-Design for Information Systems
T142,Mining Drift of Fuzzy Membership Functions
T143,A Two-Step Methodology for Human Pose Estimation Increasing the Accuracy and Reducing the Amount of Learning Samples Dramatically
T144,Constructions, Frames and Event Structure.
T145,A complex-integration approach to the saddlepoint approximation for random-coding bounds
T146,Context-Independent Facial Action Unit Recognition Using Shape and Gabor Phase Information
T147,Within-Network Classification Using Radius-Constrained Neighborhood Patterns
T148,An Energy Efficient Query Processing Algorithm Based on Relevant Node Selection for Wireless Sensor Networks
T149,A new tool for multi-level partitioning in teradata
T150,An update on the treatment and management of diabetic peripheral neuropathy.
T151,Prodweakfinder: an Information Extraction System for Detecting Product Weaknesses in Online Reviews Based on Sentiment Analysis
T152,Dual Path Networks
T153,Logical Formalizations of Commonsense Reasoning, Papers from the 2007 AAAI Spring Symposium, Technical Report SS-07-05, Stanford, California, USA, March 26-28, 2007
T154,ATMOSPHERE - Automatic Track Mining and Objective Satellite Pattern Hunting System Using Enhanced RBF and EGDLM
T155,UnFlow: Unsupervised Learning of Optical Flow With a Bidirectional Census Loss
T156,Learning Structured Representation for Text Classification via Reinforcement Learning
T157,How to Remove MAC from DHIES
T158,An Automated Employee Timetabling System for Small Businesses
T159,Logic-based modeling of event-oriented architectures in development of application systems
T160,2-Dimensional Cellular Automata Approach for Robot Grid Formations
T161,Minimizing Dependence between Graphs
T162,Research and Implementation of CAD/CAPP/PDM Integrated System Based on Teamcenter
T163,Redefining Organizational Information Technology-Based Capabilities with an Integrative Framework for Multiple Levels of Analysis
T164,Improving Hybrid Vehicle Fuel Efficiency Using Inverse Reinforcement Learning
T165,Long-Term Image Boundary Prediction
T166,Managing Complex Network Operation with Predictive Analytics
T167,Correlation and Interpolation Networks for Real-time Expression Analysis/Synthesis
T168,Inferring Formal Software Specifications from Episodic Descriptions
T169,Evaluating Open Data Innovation: A Measurement Model for Digital Innovation Contests
T170,Monochromatic and bichromatic reverse nearest neighbor queries on land surfaces
T171,No-Reference Image Quality Assessment Using Texture Information Banks
T172,Factors Affecting Cosumers' Attitude towards Online Reservation: an Empirical Analysis
T173,Learning to rank for hybrid recommendation
T174,Handling Advertisements of Unknown Quality in Search Advertising
T175,Problem Solving with Interactive-Theorem Proving - A Case Study
T176,Self-Normalizing Neural Networks
T177,Instantiating Knowledge Bases in Abstract Argumentation Frameworks
T178,Finite-State Modeling and Testing of Image Based Authentication System
T179,On the Complexity and Approximation of Binary Evidence in Lifted Inference
T180,Multilabel Structured Output Learning with Random Spanning Trees of Max-Margin Markov Networks
T181,Structure estimation for discrete graphical models: Generalized covariance matrices and their inverses
T182,Categorization by Learning and Combining Object Parts
T183,Linking Social Networks on the Web with FOAF: A Semantic Web Case Study
T184,SciFinance: A Program Synthesis Tool for Financial Modeling
T185,Lifespan-based Partitioning of Index Structures for Time-travel Text Search
T186,Ensemble of Anchor Adapters for Transfer Learning
T187,A Globalization-Semantic Matching Neural Network for Paraphrase Identification
T188,A process for evaluating tree-consistency
T189,Social Network Analysis: A Survey
T190,A mapping mechanism to support bitmap index and other auxiliary structures on tables stored as primary B±trees
T191,JANUS: Speech-to-Speech Translation Using Connectionist and Non-Connectionist Techniques
T192,A novel radial basis function neural network for rainfall forecasting based on Kernel Principal Component Analysis
T193,Neural Computing with Small Weights
T194,Mhealth: A Better Alternative For Healthcare In Developing Countries
T195,Adapting Multi-Robot Behavior to Communication Atmosphere in Humans-Robots Interaction Using Fuzzy Production Rule Based Friend-Q Learning
T196,Using Anticipation to Create Believable Behaviour
T197,Teamwork with Limited Knowledge of Teammates
T198,HEED: situated and distributed interactive devices for self-reporting
T199,Automatic Measurement of Concrete Crack Width in 2D Multiple-phase Images for Building Safety Evaluation
T200,The Employment Of Online Communities Of Practice For Manifesting Feminist Behaviors Among Eastern Women
T201,Quick Shaving
T202,PISA: An Index for Aggregating Big Time Series Data
T203,Deanonymization in the Bitcoin P2P Network
T204,Causal Ordering in a Mixed Structure
T205,Speeding Up Latent Variable Gaussian Graphical Model Estimation via Nonconvex Optimizations
T206,Modeling web application for cross-browser compatibility testing
T207,On GMAP: and other transformations
T208,Exploiting the Deep Structure of Constraint Satisfaction Problems with Quantum Computers
T209,Towards Sustainability of eMarketplaces
T210,Automatically classifying database workloads
T211,Extracting Speaker-Specific Information with a Regularized Siamese Deep Network
T212,A New Improved Penalty Avoiding Rational Policy Making Algorithm for Keepaway with Continuous State Spaces
T213,Compact Pose-Graph SLAM Framework Based on Algebra with Embedded Uncertainty
T214,Purpose-aware reasoning about interoperability of heterogeneous training systems
T215,Having your cake and eating it too: autonomy and interaction in a model of sentence processing
T216,Trajectory Planning of Mobile Robots Using DNA Computing
T217,An Efficient and Robust Technique for Region Based Shape Representation and Retrieval
T218,Towards Multidocument Summarization by Reformulation: Progress and Prospects
T219,Sequential Monte Carlo for Graphical Models
T220,Analysing top-level and domain ontology alignments from matching systems
T221,Detection of slices including a ground-glass opacity nodule in CT volume data with semi-supervised learning
T222,Privacy and Security of Big Data: Current Challenges and Future Research Perspectives
T223,Fast Abductive Reasoning over Ontologies
T224,Should Algorithms for Random SAT and Max-SAT Be Different?
T225,Efficient and provably secure multi-receiver identity-based signcryption
T226,Constructing seminal paper genealogy
T227,Scalable Cleanup of Information Extraction Data Using Ontologies
T228,Automatic Query Generation in Guided Systems: Natural Language Generation from Graphically Built Query
T229,Allocating Social Goals Using the Contract Net Protocol in Online Multi-agent Planning
T230,Computational Results for Extensive-Form Adversarial Team Games
T231,Vlogging: Trigger to Impulse Buying Behaviors
T232,Adaptive geospatially focused crawling
T233,Recommending Serendipitous Items using Transfer Learning
T234,Multi-Information Source Optimization
T235,Competence Region Modelling in Relational Classification
T236,Optimal Sequential Drilling for Hydrocarbon Field Development Planning
T237,Face Recognition Using Kernel Methods
T238,A SLA graph model for data services
T239,Semantic Oriented Algorithm Design: A Case of Median Selection
T240,The Sensitivity of Motion and Structure Computations
T241,Advances in the Design and Implementation of a Multi-tier Architecture in the GIPSY Environment with Java
T242,Irregularity in Multi-Dimensional Space-Filling Curves with Applications in Multimedia Databases
T243,Abstraction by Time-Scale in Qualitative Simulation
T244,Heparin-induced thrombocytopenia--a big deal? It should be!
T245,SMASC 2017: First International Workshop on Social Media Analytics for Smart Cities
T246,Towards a Synthesized Decision Support Methodology that Integrates Human Cognition and Data Mining
T247,"8 Amazing Secrets for Getting More Clicks": Detecting Clickbaits in News Streams Using Article Informality
T248,DisMatch results for OAEI 2016
T249,CSEP: Circular shifting encryption protocols for location privacy protection
T250,Some Notes on the Control of Attention, its Modeling and Anticipatory Cognitive Computing
T251,On the Continuous and Reactive Analysis of a Variety of Spatio-Temporal Data
T252,Computer Recognition of Wave Location in Graphical Data by a Neural Network
T253,Using RankBoost to compare retrieval systems
T254,On the Reed-Muller rule under channel polarization
T255,Breaking SVM Complexity with Cross-Training
T256,L1-Penalized Robust Estimation for a Class of Inverse Problems Arising in Multiview Geometry
T257,Research and realization of a network fault locating algorithm
T258,Establishing value mappings using statistical models and user feedback
T259,A New Cooperative Communication System in Distance Education
T260,An event-based approach for semantic metadata interoperability
T261,Termination Analysis of Active Rules Modular Sets
T262,A Comparison of Discrete-Time Operator Models and for Nonlinear System Identification
T263,Social and collaborative information seeking: panel
T264,Link Prediction in Graphs with Autoregressive Features
T265,Understanding recency-based behavior model for individual mobile phone users
T266,Joint Proceedings of the 1th Workshop on Semantic Sentiment Analysis (SSA2014), and the Workshop on Social Media and Linked Data for Emergency Response (SMILE 2014) co-located with 11th European Semantic Web Conference (ESWC 2014), Crete, Greece, May 25th, 2014
T267,Testing a Framework for the Quality of Process Models - A Case Study
T268,Spherical Random Features for Polynomial Kernels
T269,Identifying table boundaries in digital documents via sparse line detection
T270,Understanding Geographic Attentions of Crowd from Photographing Information
T271,Security and Availability of Data in the Cloud
T272,Data Augmentation for Plant Classification
T273,Inferring Macroeconomic Complexity from Country-Product Network Data
T274,Reviving Zombie Pages on SSDs
T275,Sparse Linear Programming via Primal and Dual Augmented Coordinate Descent
T276,Deep Recurrent Neural Network-Based Identification of Precursor microRNAs
T277,Managing Knowledge in Enterprise Systems
T278,Generating concise association rules
T279,An Efficient ID-Based Restrictive Partially Blind Signature Scheme
T280,PIES: An Engineers Do-lt-Yourself Knowledge System for Interpretation of Parametric Test Data
T281,A Quantitative Model-Based Selection of Web Service Reconfiguration
T282,Sparse Filtering
T283,Testing for Machine Consciousness Using Insight Learning
T284,Learning with Imprecise Classes, Rare Instances, and Complex Relationships
T285,Setting up Large-Scale Qualitative Models
T286,Colaborative Activities of Layered Neural Network
T287,A Neural Probabilistic Language Model
T288,Continuous emotion recognition using a particle swarm optimized NARX neural network
T289,A novel approach for efficient accessing of small files in HDFS: TLB-MapFile
T290,Can Simple Cells Learn Curves? A Hebbian Model in a Structured Environment
T291,Construction of Kinect-Based Measuring and Monitoring System for the Degree of Employee's Fatigue
T292,Discovering High Order Features with Mean Field Modules
T293,Design of MAC access schemes for analog joint source channel coding
T294,A Neural-Network Solution to the Concentrator Assignment Problem
T295,Ontology-Driven Guidance for Requirements Elicitation
T296,Using Multiple Representations to Simultaneously Learn Computational Thinking and Middle School Science
T297,Saying YES! The cross-cultural complexities of favors and trust in human-agent negotiation
T298,Intelligent Hybrid System: A Reliability-Based Failure Management Application
T299,Coordination and multi-tasking using EMT
T300,Enhancements of branch and bound methods for the maximal constraint satisfaction problem
T301,Using program synthesis for social recommendations
T302,PPCP: Efficient Probabilistic Planning with Clear Preferences in Partially-Known Environments
T303,Programming by Demonstration with Situated Semantic Parsing
T304,Estimating Probability Distributions over Hypotheses with Variable Unification
T305,Reduction of the State Observation Problem to an Identifiability Problem
T306,A Global Topology Based Broadcast Algorithm for VANETs
T307,Generalized nogoods in CSPs
T308,Information Extraction from PDF Sources Based on Rule-Based System Using Integrated Formats
T309,Efficient Approximation for Large-Scale Kernel Clustering Analysis
T310,Instant distributed minimum diameter tree construction for scalable application layer multicast
T311,On Selection of Samples in Algebraic Attacks and a New Technique to Find Hidden Low Degree Equations
T312,Multi-channel BER tester module based on FPGA
T313,Systemic-Functional Context-Sensitive Text Generation in the Framework of Everyday Language Computing
T314,Using POMDPs to control an accuracy-processing time trade-off in video surveillance
T315,A Fast k-Nearest Neighbor Search Using Query-Specific Signature Selection
T316,Active Gesture Recognition using Learned Visual Attention
T317,Anticipating Activity in Social Media Spikes
T318,Mapping web pages to database records via link paths
T319,Animated Two-Dimensional Barcode Generation Using Optimization Algorithms - Redesign of Formulation, Operator, and Quality Evaluation
T320,Knowledge Base Discovery Tool
T321,A Probabilistic Soft Logic Based Approach to Exploiting Latent and Global Information in Event Classification
T322,Image retrieval system based on bag of view words model
T323,Data Driven Water Pipe Failure Prediction: A Bayesian Nonparametric Approach
T324,What Drives Trust in Online Paid Knowledge? The Role of Customer Value
T325,Fast Bayesian Inference for Non-Conjugate Gaussian Process Regression
T326,Controlling State-Space Abstraction in Bayesian Networks
T327,On the Complexity of BDDs for State Space Search: A Case Study in Connect Four
T328,Implementing Fast Carryless Multiplication
T329,Investigating the Impact of IT Ambidexterity on Digital Innovation Capability
T330,Statistical Consistency of Ranking Methods in A Rank-Differentiable Probability Space
T331,Coarse-to-Fine Image Search Using Neural Networks
T332,Data Driven Wellness: From Self-Tracking to Behavior Change, Papers from the 2013 AAAI Spring Symposium, Palo Alto, California, USA, March 25-27, 2013
T333,Lattice-Based Recurrent Neural Network Encoders for Neural Machine Translation.
T334,The Clock Ticking Changes Our Performance
T335,Using Cases to Represent Context for Text Classification
T336,Efficient Sampling for Bipartite Matching Problems
T337,Holistic Crowd-Powered Sorting via AID: Optimizing for Accuracies, Inconsistencies, and Difficulties
T338,Proceedings of the Workshop on Databases - Active and Real-Time, DART 1996, Rockville, Maryland, USA
T339,Cryptanalysis of Reduced-Round SMS4 Block Cipher
T340,Statistical Inference for Cluster Trees
T341,Content recommendation for attention management in unified social messaging
T342,Marco Polo: a system for brand-based shopping and exploration
T343,Ambient Interface Design (AID) for the Ergonomically Challenged
T344,Potential Contribution to Food Education of a Digital Cooking Game Using Tangible User Interface
T345,Sparse Projections over Graph
T346,Text-Style Conversion of Speech Transcript into Web Document for Lecture Archive
T347,Business Use Of Internet: A Critical Analysis And A Set Of Propositions
T348,DI-DAP: An Efficient Disaster Information Delivery and Analysis Platform in Disaster Management
T349,Evaluating the Citations of Information Systems Journals in Wikipedia
T350,Integrated Agent and Semantic P2P Grid Resource Discovery Model
T351,Inducing Deterministic Prolog Parsers from Treebanks: A Machine Learning Approach
T352,MDL: Metrics Definition Language
T353,A Production Planning Methodology for Semiconductor Manufacturing Based on Simulation and Marketing Pattern
T354,Cross-Language Learning for Program Classification using Bilateral Tree-Based Convolutional Neural Networks
T355,Cerberus: applying supervised and reinforcement learning techniques to capture the flag games
T356,Fair Threshold Decryption with Semi-Trusted Third Parties
T357,Strategic Orientation of Knowledge Management and Information Technology and their effects on Performance
T358,Harnessing Semantics for Answer Sentence Retrieval
T359,HiBISCuS: Hypergraph-Based Source Selection for SPARQL Endpoint Federation
T360,Using Preferences over Sources of Information in Argumentation-Based Reasoning
T361,A multi-agent simulator for teaching police allocation
T362,Moving beyond access and skills: Transformation in teaching and learning in a BYOD case
T363,Structured Generative Adversarial Networks
T364,Application of Embedded System in Construction Machinery
T365,Probabilistic Low-Rank Subspace Clustering
T366,Deep Reinforcement Learning for Syntactic Error Repair in Student Programs
T367,Large Scale Online Brand Networks to Study Brand Effects
T368,Semi-Supervised Learning for Optical Flow with Generative Adversarial Networks
T369,Method of introducing appropriate respondents to questions at question-and-answer sites
T370,The Segmented Introduction of Transaction Fees in the German Ridesharing Market
T371,Power flow computing probabilistic approach
T372,A fast subspace channel estimation for STBC-based MIMO-OFDM systems
T373,Automated Interestingness Measure Selection for Exhibition Recommender Systems
T374,Controlling Selection Bias in Causal Inference
T375,Developing personalized security information service using open data
T376,Extraction and Classification of the Cultural Relic Model Based on Local Geometric Features
T377,Cooperation between logistics service providers based on cloud computing
T378,Consonant-Vowel Sequences as Subword Units for Code-Mixed Languages
T379,Context-Aware Symptom Checking for Disease Diagnosis Using Hierarchical Reinforcement Learning
T380,Impact Of Social Media Usage On Organizations
T381,Answering Twitter Questions: a Model for Recommending Answerers through Social Collaboration
T382,Blocking as a Middle-Ground for Step-Order Commitments in Planning
T383,Variance maximization via noise injection for active sampling in learning to rank
T384,Water supply reliability assessment in the East River basin of south China
T385,Service Discovery in the SOA System
T386,Towards flexible magnetoelectronics for robotic applications
T387,A Context-Aware Approach for Integrating Semantic Web Technologies onto Mobile Devices
T388,Autonomous Composition and Execution of REST APIs for Smart Sensors
T389,Stochastic Mixed-Signal VLSI Architecture for High-Dimensional Kernel Machines
T390,Simulation of a Thalamocortical Circuit for Computing Directional Heading in the Rat
T391,Knowledge Formation and Dialogue Using the KRAKEN Toolset
T392,Efficient and Flexible Cluster-and-Search for CBIR
T393,3DString: a feature string kernel for 3D object classification on voxelized data
T394,PASS-GLM: polynomial approximate sufficient statistics for scalable Bayesian GLM inference
T395,The VC-Dimension versus the Statistical Capacity of Multilayer Networks
T396,Effects of Ecological Inheritance on Coevolution of Cooperative Behaviors and Physically Niche Constructing Behaviors
T397,Case-Based Reasoning for Control of Spatial Representations
T398,Semi-Markov Conditional Random Fields for Information Extraction
T399,Automated debugging with tractable probabilistic programming
T400,Predicting Action Content On-Line and in Real Time before Action Onset - an Intracranial Human Study
T401,Online Transaction Processing (OLTP) Performance Improvement Using File-Systems Layer Transparent Compression
T402,Internet scale string attribute publish/subscribe data networks
T403,Interactive exploration of fuzzy RDF knowledge bases
T404,Antecedents to Risk and Threat in Hci: Controlling for the Unknown
T405,The Effect of Correlations on the Fisher Information of Population Codes
T406,Effects of the Web 2.0 and Social Network Services Environment on Information Quality and Intentions to Re-Use
T407,Disambiguating noun compounds
T408,Adopting Internet Telephony Technology as a Cross-Cultural Communication Training Tool
T409,Incentivizing High Quality User Contributions: New Arm Generation in Bandit Learning
T410,Eliciting Disease Data from Wikipedia Articles
T411,The Success Factors for App Store-Like Platform Businesses from the Perspective of Third-Party Developers: An Empirical Study Based on A Dual Model Framework
T412,Learning the k in k-means
T413,On the Security of Self-Synchronous Ciphers
T414,Formalization of the prime number theorem and Dirichlet's theorem
T415,Two-stage Process Analysis Using the Process-based Performance Measurement Framework and Process Simulation
T416,Co-clustering of diseases, genes, and drugs for identification of their related gene modules
T417,A New Method for Conflict Detection and Resolution in Air Traffic Management.
T418,A Computational Approach to Re-Interpretation: Generation of Emphatic Poems Inspired by Internet Blogs
T419,Propositional Logic of Context
T420,Towards an Ontology-Based Distributed Architecture for Paid Content
T421,On Classifying Discussion Threads Using Travel Information Goal-Oriented Model
T422,The affection of noise strategy in the naming game
T423,Towards Competence in Autonomous Agents
T424,A New Granger Causal Model for Influence Evolution in Dynamic Social Networks: The Case of DBLP
T425,Superstabilizing, Fault-Containing Distributed Combinatorial Optimization
T426,Gamified participation: investigating the influence of game elements in civic engagement tools
T427,Does software developers' motivation affect performance?
T428,Memory Replay GANs: Learning to Generate New Categories without Forgetting
T429,DeepHit: A Deep Learning Approach to Survival Analysis With Competing Risks
T430,Nonparametric von Mises Estimators for Entropies, Divergences and Mutual Informations
T431,Omnipotence without Omniscience: Sensor Management in Planning
T432,Designing virtual accessing adapter and non-volatile memory management for memory-disk integrated system
T433,An implementation of IoT gateway for narrow bandwidth and massive machine-type communications over B4G cellular network
T434,Song Learning in Birds
T435,Factors Affecting User Participation in Sharing Economy: The Case of Commercial Bike Sharing Service in China
T436,Analyzing Stock Market Fraud Cases Using a Linguistics-Based Text Mining Approach
T437,Rule-Assisted Prefetching in Web-Server Caching
T438,Using Semantic Technologies for Scalable Multi-channel Communication
T439,Behavioral Implicit Communication (BIC): Communicating with Smart Environments
T440,Multi-task text segmentation and alignment based on weighted mutual information
T441,DevOps: Concepts, Practices, Tools, Benefits and Challenges
T442,Integrating Human Input for Decision Making with Informative Bayesian Beliefs
T443,Exploring User Participation Motives in Information System Projects
T444,Playing FPS Games with Deep Reinforcement Learning
T445,Super directive antennas for low electromagnetic field mobile communications
T446,Learning Robust Options
T447,Using Health Information to Reconfigure Platform Operation, Adjust Mission Goals and Extend the Life of the System.
T448,LinDA: A Service Infrastructure for Linked Data Analysis and Provision of Data Statistics
T449,Implicit Detection of Hidden Processes with a Feather-Weight Hardware-Assisted Virtual Machine Monitor
T450,Private Graph Intersection Protocol
T451,On Trivial Solution and High Correlation Problems in Deep Supervised Hashing
T452,Learning Content Patterns from Linked Data
T453,SemTree: ontology-based decision tree algorithm for recommender systems
T454,Non-orthogonal FQAM for multiple access in the uplink of 5G wireless networks
T455,Learning a Distance Metric from a Network
T456,Diagnosing Multiple Interacting Defects with Combination Descriptions
T457,Enhanced Modes of Operation for the Encryption in High-Speed Networks and Their Impact on QoS
T458,MAMIP - interoperation mechanism of ad hoc network and IP network
T459,A sensitivity based approach to determine the parameters variation of a cardiovascular model
T460,The Research of Local Area Storage Grid System
T461,In search of meaning for time series subsequence clustering: matching algorithms based on a new distance measure
T462,On Learning Decision Heuristics
